iter	Passed	Remaining
911	1446	139
912	1448	138
913	1451	136
914	1452	134
915	1453	133
916	1456	131
917	1458	130
918	1459	128
919	1460	127
920	1461	125
921	1462	123
922	1463	122
923	1464	120
924	1465	118
925	1466	117
926	1467	115
927	1468	113
928	1471	112
929	1473	110
930	1474	109
931	1475	107
932	1476	106
933	1477	104
934	1478	102
935	1479	101
936	1480	99
937	1481	97
938	1482	96
939	1483	94
940	1486	93
941	1487	91
942	1488	89
943	1490	88
944	1491	86
945	1492	85
946	1493	83
947	1494	81
948	1495	80
949	1496	78
950	1497	77
951	1499	75
952	1501	74
953	1502	72
954	1503	70
955	1505	69
956	1506	67
957	1507	66
958	1508	64
959	1509	62
960	1510	61
961	1511	59
962	1512	58
963	1515	56
964	1516	55
965	1517	53
966	1519	51
967	1520	50
968	1521	48
969	1522	47
970	1523	45
971	1524	43
972	1525	42
973	1526	40
974	1527	39
975	1530	37
976	1531	36
977	1532	34
978	1534	32
979	1535	31
980	1536	29
981	1537	28
982	1538	26
983	1539	25
984	1540	23
985	1541	21
986	1543	20
987	1545	18
988	1547	17
989	1548	15
990	1549	14
991	1550	12
992	1551	10
993	1552	9
994	1553	7
995	1554	6
996	1555	4
997	1556	3
998	1559	1
999	1560	0
